model,task,reduction_type,sample_type,exp_type,filename,score,loss,reduction_pass,reduction_time,initial_program,final_program,len_initial_chars,len_final_chars,len_minimal_chars,len_removed_chars,per_removed_chars,initial_tokens,final_tokens,len_initial_tokens,len_final_tokens,len_minimal_tokens,len_removed_tokens,per_removed_tokens
code2vec,METHOD_NAME,dd_token,freq,dd_token_freq_methods,equals_6.txt,0.9999,0.0001,"{'n_total': 185, 'n_valid': 20, 'n_correct': 19}",59.180334,@Override public boolean equals(Object obj) { if (obj instanceof CharEntry) { return value.equals(((CharEntry) obj).value); } return false; },boolean equals(){if(obj){equals(((CharEntry)).value);}},141,55,12,86,66.66666666666666,"['@', 'Override', 'public', 'boolean', 'equals', '(', 'Object', 'obj', ')', '{', 'if', '(', 'obj', 'instanceof', 'CharEntry', ')', '{', 'return', 'value', '.', 'equals', '(', '(', '(', 'CharEntry', ')', 'obj', ')', '.', 'value', ')', ';', '}', 'return', 'false', ';', '}']","['boolean', 'equals', '(', ')', '{', 'if', '(', 'obj', ')', '{', 'equals', '(', '(', '(', 'CharEntry', ')', ')', '.', 'value', ')', ';', '}', '}']",37,23,6,14,45.16129032258064
code2vec,METHOD_NAME,dd_token,freq,dd_token_freq_methods,init_10.txt,0.9939,0.0063,"{'n_total': 119, 'n_valid': 14, 'n_correct': 10}",42.174016,@Override public void init() throws ServletException { super.init(); callCount.incrementAndGet(); },void init()throws ServletException{super.init;incrementAndGet();},99,65,10,34,38.20224719101123,"['@', 'Override', 'public', 'void', 'init', '(', ')', 'throws', 'ServletException', '{', 'super', '.', 'init', '(', ')', ';', 'callCount', '.', 'incrementAndGet', '(', ')', ';', '}']","['void', 'init', '(', ')', 'throws', 'ServletException', '{', 'super', '.', 'init', ';', 'incrementAndGet', '(', ')', ';', '}']",23,16,6,7,41.17647058823529
code2vec,METHOD_NAME,dd_token,freq,dd_token_freq_methods,toString_2.txt,0.9894,0.0222,"{'n_total': 458, 'n_valid': 52, 'n_correct': 48}",162.098026,"@Override public String toString() { StringWriter sw = new StringWriter(); PrintWriter pw = new PrintWriter(sw); pw.println(""=== Cookies ===""); int count = getCookieCount(); for (int i = 0; i < count; ++i) { pw.println(getCookie(i).toString()); } return sw.toString(); }","String toString(){StringWriter=(sw)("""");count();for(;;){((i));}toString();}",270,75,14,195,76.171875,"['@', 'Override', 'public', 'String', 'toString', '(', ')', '{', 'StringWriter', 'sw', '=', 'new', 'StringWriter', '(', ')', ';', 'PrintWriter', 'pw', '=', 'new', 'PrintWriter', '(', 'sw', ')', ';', 'pw', '.', 'println', '(', '""=== Cookies ===""', ')', ';', 'int', 'count', '=', 'getCookieCount', '(', ')', ';', 'for', '(', 'int', 'i', '=', '0', ';', 'i', '<', 'count', ';', '++', 'i', ')', '{', 'pw', '.', 'println', '(', 'getCookie', '(', 'i', ')', '.', 'toString', '(', ')', ')', ';', '}', 'return', 'sw', '.', 'toString', '(', ')', ';', '}']","['String', 'toString', '(', ')', '{', 'StringWriter', '=', '(', 'sw', ')', '(', '""""', ')', ';', 'count', '(', ')', ';', 'for', '(', ';', ';', ')', '{', '(', '(', 'i', ')', ')', ';', '}', 'toString', '(', ')', ';', '}']",77,36,6,41,57.74647887323944
code2vec,METHOD_NAME,dd_token,freq,dd_token_freq_methods,onCreate_4.txt,1.0,0.0,"{'n_total': 110, 'n_valid': 14, 'n_correct': 12}",38.963885,@Override protected void onCreate(Bundle savedInstanceState) { super.onCreate(savedInstanceState); setContentView(R.layout.main); init(); InitTabViews(); InitViewPager(); },void onCreate(){onCreate();InitViewPager();},172,44,14,128,81.0126582278481,"['@', 'Override', 'protected', 'void', 'onCreate', '(', 'Bundle', 'savedInstanceState', ')', '{', 'super', '.', 'onCreate', '(', 'savedInstanceState', ')', ';', 'setContentView', '(', 'R', '.', 'layout', '.', 'main', ')', ';', 'init', '(', ')', ';', 'InitTabViews', '(', ')', ';', 'InitViewPager', '(', ')', ';', '}']","['void', 'onCreate', '(', ')', '{', 'onCreate', '(', ')', ';', 'InitViewPager', '(', ')', ';', '}']",39,14,6,25,75.75757575757575
code2vec,METHOD_NAME,dd_token,freq,dd_token_freq_methods,onCreate_5.txt,1.0,0.0,"{'n_total': 142, 'n_valid': 17, 'n_correct': 15}",48.404425,"@Override public void onCreate() { Log.i(LOG_TAG, ""onCreate""); super.onCreate(); memoryInfo = new MemoryInfo(); fomart = new DecimalFormat(); fomart.setMaximumFractionDigits(2); fomart.setMinimumFractionDigits(0); }","void onCreate(){(""onCreate"");}",215,30,14,185,92.03980099502488,"['@', 'Override', 'public', 'void', 'onCreate', '(', ')', '{', 'Log', '.', 'i', '(', 'LOG_TAG', ',', '""onCreate""', ')', ';', 'super', '.', 'onCreate', '(', ')', ';', 'memoryInfo', '=', 'new', 'MemoryInfo', '(', ')', ';', 'fomart', '=', 'new', 'DecimalFormat', '(', ')', ';', 'fomart', '.', 'setMaximumFractionDigits', '(', '2', ')', ';', 'fomart', '.', 'setMinimumFractionDigits', '(', '0', ')', ';', '}']","['void', 'onCreate', '(', ')', '{', '(', '""onCreate""', ')', ';', '}']",52,10,6,42,91.30434782608695
code2vec,METHOD_NAME,dd_token,freq,dd_token_freq_methods,toString_3.txt,0.9776,0.0345,"{'n_total': 224, 'n_valid': 32, 'n_correct': 27}",96.040559,"@Override public String toString() { if (null == buff) { return null; } else if (end - start == 0) { return """"; } return StringCache.toString(this); }",String toString(){if(buff){}if(0){}toString;},150,45,14,105,77.20588235294117,"['@', 'Override', 'public', 'String', 'toString', '(', ')', '{', 'if', '(', 'null', '==', 'buff', ')', '{', 'return', 'null', ';', '}', 'else', 'if', '(', 'end', '-', 'start', '==', '0', ')', '{', 'return', '""""', ';', '}', 'return', 'StringCache', '.', 'toString', '(', 'this', ')', ';', '}']","['String', 'toString', '(', ')', '{', 'if', '(', 'buff', ')', '{', '}', 'if', '(', '0', ')', '{', '}', 'toString', ';', '}']",42,20,6,22,61.11111111111112
code2vec,METHOD_NAME,dd_token,freq,dd_token_freq_methods,equals_7.txt,1.0,0.0,"{'n_total': 209, 'n_valid': 21, 'n_correct': 19}",64.481471,@Override public boolean equals(Object obj) { if (obj instanceof Function) { return this.hashCode() == obj.hashCode(); } return false; },boolean equals(Object obj){if(obj instanceof Function){}},136,57,12,79,63.70967741935484,"['@', 'Override', 'public', 'boolean', 'equals', '(', 'Object', 'obj', ')', '{', 'if', '(', 'obj', 'instanceof', 'Function', ')', '{', 'return', 'this', '.', 'hashCode', '(', ')', '==', 'obj', '.', 'hashCode', '(', ')', ';', '}', 'return', 'false', ';', '}']","['boolean', 'equals', '(', 'Object', 'obj', ')', '{', 'if', '(', 'obj', 'instanceof', 'Function', ')', '{', '}', '}']",35,16,6,19,65.51724137931035
code2vec,METHOD_NAME,dd_token,freq,dd_token_freq_methods,equals_5.txt,0.9999,0.0001,"{'n_total': 226, 'n_valid': 22, 'n_correct': 22}",66.193824,@Override public boolean equals(Object o) { if (this == o) return true; if (!(o instanceof Column)) return false; Column column = (Column) o; return name.equalsIgnoreCase(column.name); },boolean equals(Object o){if(this==o)if((Column))(column);},186,58,12,128,73.5632183908046,"['@', 'Override', 'public', 'boolean', 'equals', '(', 'Object', 'o', ')', '{', 'if', '(', 'this', '==', 'o', ')', 'return', 'true', ';', 'if', '(', '!', '(', 'o', 'instanceof', 'Column', ')', ')', 'return', 'false', ';', 'Column', 'column', '=', '(', 'Column', ')', 'o', ';', 'return', 'name', '.', 'equalsIgnoreCase', '(', 'column', '.', 'name', ')', ';', '}']","['boolean', 'equals', '(', 'Object', 'o', ')', '{', 'if', '(', 'this', '==', 'o', ')', 'if', '(', '(', 'Column', ')', ')', '(', 'column', ')', ';', '}']",50,24,6,26,59.09090909090909
code2vec,METHOD_NAME,dd_token,freq,dd_token_freq_methods,setUp_10.txt,0.9995,0.0005,"{'n_total': 206, 'n_valid': 19, 'n_correct': 18}",55.368624,"@Override public void setUp() throws Exception { if (!TesterSupport.RFC_5746_SUPPORTED) { System.setProperty(""sun.security.ssl.allowUnsafeRenegotiation"", ""true""); } super.setUp(); }","void setUp()throws Exception{{System("""","""");}setUp();}",181,54,11,127,74.70588235294117,"['@', 'Override', 'public', 'void', 'setUp', '(', ')', 'throws', 'Exception', '{', 'if', '(', '!', 'TesterSupport', '.', 'RFC_5746_SUPPORTED', ')', '{', 'System', '.', 'setProperty', '(', '""sun.security.ssl.allowUnsafeRenegotiation""', ',', '""true""', ')', ';', '}', 'super', '.', 'setUp', '(', ')', ';', '}']","['void', 'setUp', '(', ')', 'throws', 'Exception', '{', '{', 'System', '(', '""""', ',', '""""', ')', ';', '}', 'setUp', '(', ')', ';', '}']",35,21,6,14,48.27586206896552
code2vec,METHOD_NAME,dd_token,freq,dd_token_freq_methods,equals_10.txt,0.9999,0.0002,"{'n_total': 235, 'n_valid': 30, 'n_correct': 28}",90.434511,@Override public boolean equals(Object other) { if (other instanceof Mark) { Mark m = (Mark) other; return this.reader == m.reader && this.fileId == m.fileId && this.cursor == m.cursor && this.line == m.line && this.col == m.col; } return false; },boolean equals(Object other){if(other instanceof Mark){}},247,57,12,190,80.85106382978722,"['@', 'Override', 'public', 'boolean', 'equals', '(', 'Object', 'other', ')', '{', 'if', '(', 'other', 'instanceof', 'Mark', ')', '{', 'Mark', 'm', '=', '(', 'Mark', ')', 'other', ';', 'return', 'this', '.', 'reader', '==', 'm', '.', 'reader', '&&', 'this', '.', 'fileId', '==', 'm', '.', 'fileId', '&&', 'this', '.', 'cursor', '==', 'm', '.', 'cursor', '&&', 'this', '.', 'line', '==', 'm', '.', 'line', '&&', 'this', '.', 'col', '==', 'm', '.', 'col', ';', '}', 'return', 'false', ';', '}']","['boolean', 'equals', '(', 'Object', 'other', ')', '{', 'if', '(', 'other', 'instanceof', 'Mark', ')', '{', '}', '}']",71,16,6,55,84.61538461538461
code2vec,METHOD_NAME,dd_token,freq,dd_token_freq_methods,toString_1.txt,0.9997,0.0003,"{'n_total': 180, 'n_valid': 19, 'n_correct': 15}",61.363081,"@Override public String toString() { StringBuilder sb = new StringBuilder(""Transaction[""); sb.append(""]""); return (sb.toString()); }","@Override String toString(){("""");(""]"");(sb);}",132,45,14,87,73.72881355932203,"['@', 'Override', 'public', 'String', 'toString', '(', ')', '{', 'StringBuilder', 'sb', '=', 'new', 'StringBuilder', '(', '""Transaction[""', ')', ';', 'sb', '.', 'append', '(', '""]""', ')', ';', 'return', '(', 'sb', '.', 'toString', '(', ')', ')', ';', '}']","['@', 'Override', 'String', 'toString', '(', ')', '{', '(', '""""', ')', ';', '(', '""]""', ')', ';', '(', 'sb', ')', ';', '}']",34,20,6,14,50.0
code2vec,METHOD_NAME,dd_token,freq,dd_token_freq_methods,onCreate_7.txt,1.0,0.0,"{'n_total': 215, 'n_valid': 23, 'n_correct': 19}",68.131171,"@Override protected void onCreate(Bundle savedInstanceState) { super.onCreate(savedInstanceState); if (null == savedInstanceState) { GuidedStepFragment.addAsRoot(this, new FirstStepFragment(), android.R.id.content); } }","void onCreate(Bundle savedInstanceState){if(savedInstanceState){GuidedStepFragment.addAsRoot(FirstStepFragment(),android);}}",219,124,14,95,46.34146341463415,"['@', 'Override', 'protected', 'void', 'onCreate', '(', 'Bundle', 'savedInstanceState', ')', '{', 'super', '.', 'onCreate', '(', 'savedInstanceState', ')', ';', 'if', '(', 'null', '==', 'savedInstanceState', ')', '{', 'GuidedStepFragment', '.', 'addAsRoot', '(', 'this', ',', 'new', 'FirstStepFragment', '(', ')', ',', 'android', '.', 'R', '.', 'id', '.', 'content', ')', ';', '}', '}']","['void', 'onCreate', '(', 'Bundle', 'savedInstanceState', ')', '{', 'if', '(', 'savedInstanceState', ')', '{', 'GuidedStepFragment', '.', 'addAsRoot', '(', 'FirstStepFragment', '(', ')', ',', 'android', ')', ';', '}', '}']",46,25,6,21,52.5
code2vec,METHOD_NAME,dd_token,freq,dd_token_freq_methods,onCreate_6.txt,0.9988,0.0031,"{'n_total': 159, 'n_valid': 25, 'n_correct': 19}",72.956425,@Override public boolean onCreate() { Context context = getContext(); mContentResolver = context.getContentResolver(); mOpenHelper = new VideoDbHelper(context); return true; },boolean onCreate(){mOpenHelper=new VideoDbHelper(context);},175,59,14,116,72.04968944099379,"['@', 'Override', 'public', 'boolean', 'onCreate', '(', ')', '{', 'Context', 'context', '=', 'getContext', '(', ')', ';', 'mContentResolver', '=', 'context', '.', 'getContentResolver', '(', ')', ';', 'mOpenHelper', '=', 'new', 'VideoDbHelper', '(', 'context', ')', ';', 'return', 'true', ';', '}']","['boolean', 'onCreate', '(', ')', '{', 'mOpenHelper', '=', 'new', 'VideoDbHelper', '(', 'context', ')', ';', '}']",35,14,6,21,72.41379310344827
code2vec,METHOD_NAME,dd_token,freq,dd_token_freq_methods,equals_4.txt,0.9951,0.0056,"{'n_total': 378, 'n_valid': 30, 'n_correct': 30}",90.152106,"@Override public boolean equals(Object obj) { if (!(obj instanceof URL)) return (false); URL other = (URL) obj; if (!sameFile(other)) return (false); return (compare(ref, other.getRef())); }",boolean equals(Object obj){if((obj instanceof URL))(false);if(sameFile)((getRef()));},190,85,12,105,58.98876404494382,"['@', 'Override', 'public', 'boolean', 'equals', '(', 'Object', 'obj', ')', '{', 'if', '(', '!', '(', 'obj', 'instanceof', 'URL', ')', ')', 'return', '(', 'false', ')', ';', 'URL', 'other', '=', '(', 'URL', ')', 'obj', ';', 'if', '(', '!', 'sameFile', '(', 'other', ')', ')', 'return', '(', 'false', ')', ';', 'return', '(', 'compare', '(', 'ref', ',', 'other', '.', 'getRef', '(', ')', ')', ')', ';', '}']","['boolean', 'equals', '(', 'Object', 'obj', ')', '{', 'if', '(', '(', 'obj', 'instanceof', 'URL', ')', ')', '(', 'false', ')', ';', 'if', '(', 'sameFile', ')', '(', '(', 'getRef', '(', ')', ')', ')', ';', '}']",60,32,6,28,51.85185185185185
code2vec,METHOD_NAME,dd_token,freq,dd_token_freq_methods,run_3.txt,1.0,0.0,"{'n_total': 332, 'n_valid': 29, 'n_correct': 29}",87.077263,@Override public void run() { Thread me = Thread.currentThread(); while (timer == me) { try { Thread.sleep(100); } catch (InterruptedException e) { } repaint(); } },void run(){while(timer){try{(0);}catch(InterruptedException e){}repaint();}},164,76,9,88,56.774193548387096,"['@', 'Override', 'public', 'void', 'run', '(', ')', '{', 'Thread', 'me', '=', 'Thread', '.', 'currentThread', '(', ')', ';', 'while', '(', 'timer', '==', 'me', ')', '{', 'try', '{', 'Thread', '.', 'sleep', '(', '100', ')', ';', '}', 'catch', '(', 'InterruptedException', 'e', ')', '{', '}', 'repaint', '(', ')', ';', '}', '}']","['void', 'run', '(', ')', '{', 'while', '(', 'timer', ')', '{', 'try', '{', '(', '0', ')', ';', '}', 'catch', '(', 'InterruptedException', 'e', ')', '{', '}', 'repaint', '(', ')', ';', '}', '}']",47,30,6,17,41.46341463414634
code2vec,METHOD_NAME,dd_token,freq,dd_token_freq_methods,execute_7.txt,0.9997,0.0004,"{'n_total': 165, 'n_valid': 17, 'n_correct': 17}",50.455227,"@Override public void execute() throws BuildException { super.execute(); checkParameter(); StringBuilder sb = createLink(); execute(sb.toString(), null, null, -1); }",void execute()throws BuildException{execute();createLink();(sb);},165,65,13,100,65.78947368421053,"['@', 'Override', 'public', 'void', 'execute', '(', ')', 'throws', 'BuildException', '{', 'super', '.', 'execute', '(', ')', ';', 'checkParameter', '(', ')', ';', 'StringBuilder', 'sb', '=', 'createLink', '(', ')', ';', 'execute', '(', 'sb', '.', 'toString', '(', ')', ',', 'null', ',', 'null', ',', '-', '1', ')', ';', '}']","['void', 'execute', '(', ')', 'throws', 'BuildException', '{', 'execute', '(', ')', ';', 'createLink', '(', ')', ';', '(', 'sb', ')', ';', '}']",44,20,6,24,63.1578947368421
code2vec,METHOD_NAME,dd_token,freq,dd_token_freq_methods,setUp_3.txt,0.9992,0.0008,"{'n_total': 113, 'n_valid': 14, 'n_correct': 11}",42.474512,@Override protected void setUp() throws Exception { super.setUp(); resolver = getContext().getContentResolver(); },void setUp()throws Exception{super.setUp();},114,44,11,70,67.96116504854369,"['@', 'Override', 'protected', 'void', 'setUp', '(', ')', 'throws', 'Exception', '{', 'super', '.', 'setUp', '(', ')', ';', 'resolver', '=', 'getContext', '(', ')', '.', 'getContentResolver', '(', ')', ';', '}']","['void', 'setUp', '(', ')', 'throws', 'Exception', '{', 'super', '.', 'setUp', '(', ')', ';', '}']",27,14,6,13,61.90476190476191
