
path = /scratch/rabin/data/code2vec/transforms/Methods_Test/java-large/test/sakaiproject__sakai/jobscheduler/scheduler-component-shared/src/java/org/sakaiproject/component/app/scheduler/jobs/cm/processor/BaseCsvFileProcessor_trimLine.java
method_name = trimLine
method_body = protected String[] trimLine(String[] line) { String trim = ""; for (int i = 0; i < line.length; i++) { trim = line[i].trim(); line[i] = trim; } return line; }
predict, score, loss = trimLine, 0.23536146, 3.0522814

Trace of simplified code(s):
{"time": "2021-01-20 05:53:02.784609", "n_pass": [1, 1, 1], "score": "0.2354", "loss": "3.0523", "code": "protected String[] trimLine(String[] line) { String trim = \"\"; for (int i = 0; i < line.length; i++) { trim = line[i].trim(); line[i] = trim; } return line; }"}
{"time": "2021-01-20 05:53:53.914019", "n_pass": [262, 35, 21], "score": "0.2113", "loss": "5.1248", "code": "String[]trimLine(String[]line){String trim;for(;; ) { line[i] = trim; } return line; }"}
{"time": "2021-01-20 05:54:04.700523", "n_pass": [318, 40, 22], "score": "0.2113", "loss": "5.1248", "code": "String[]trimLine(String[]line){String trim;for(;; ) { line[i] =trim; } return line; }"}
{"time": "2021-01-20 05:54:06.040086", "n_pass": [320, 41, 23], "score": "0.2113", "loss": "5.1248", "code": "String[]trimLine(String[]line){String trim;for(;; ) { line[i] =trim;} return line; }"}
{"time": "2021-01-20 05:54:07.398064", "n_pass": [322, 42, 24], "score": "0.2113", "loss": "5.1248", "code": "String[]trimLine(String[]line){String trim;for(;; ) { line[i] =trim;}return line; }"}
{"time": "2021-01-20 05:54:12.764374", "n_pass": [327, 46, 25], "score": "0.2113", "loss": "5.1248", "code": "String[]trimLine(String[]line){String trim;for(;; ) { line[i] =trim;}return line;}"}
{"time": "2021-01-20 05:54:18.116738", "n_pass": [348, 50, 26], "score": "0.2113", "loss": "5.1248", "code": "String[]trimLine(String[]line){String trim;for(;;) { line[i] =trim;}return line;}"}
{"time": "2021-01-20 05:54:19.457975", "n_pass": [350, 51, 27], "score": "0.2113", "loss": "5.1248", "code": "String[]trimLine(String[]line){String trim;for(;;){ line[i] =trim;}return line;}"}
{"time": "2021-01-20 05:54:20.822183", "n_pass": [352, 52, 28], "score": "0.2113", "loss": "5.1248", "code": "String[]trimLine(String[]line){String trim;for(;;){line[i] =trim;}return line;}"}
{"time": "2021-01-20 05:54:22.153820", "n_pass": [357, 53, 29], "score": "0.2113", "loss": "5.1248", "code": "String[]trimLine(String[]line){String trim;for(;;){line[i]=trim;}return line;}"}

Minimal simplified code:
String[]trimLine(String[]line){String trim;for(;;){line[i]=trim;}return line;}

