
path = /scratch/rabin/data/code2vec/transforms/Methods_Test/java-large/test/codefollower__Tomcat-Research/test/org/apache/tomcat/util/collections/TesterPerformanceSynchronizedQueue_run.java
method_name = run
method_body = @Override public void run() { for (int i = 0; i < ITERATIONS; i++) { Object obj = QUEUE.poll(); if (obj == null) { obj = new Object(); } QUEUE.offer(obj); } super.run(); }
predict, score, loss = run, 0.9991298317909241, 0.0010785006452351809

Trace of simplified code(s):
{"time": "2020-12-26 22:07:16.116814", "n_pass": [1, 1, 1], "score": "0.9991", "loss": "0.0011", "code": "@Override public void run() { for (int i = 0; i < ITERATIONS; i++) { Object obj = QUEUE.poll(); if (obj == null) { obj = new Object(); } QUEUE.offer(obj); } super.run(); }"}
{"time": "2020-12-26 22:09:08.793462", "n_pass": [326, 35, 27], "score": "0.6492", "loss": "0.5399", "code": "@Override void run(){for(;; i++){ Object obj = QUEUE; if (objnull) {} }; }"}
{"time": "2020-12-26 22:09:11.578098", "n_pass": [327, 36, 28], "score": "0.6492", "loss": "0.5399", "code": "@Override void run(){for(;; i++){Object obj = QUEUE; if (objnull) {} }; }"}
{"time": "2020-12-26 22:09:22.706994", "n_pass": [331, 40, 29], "score": "0.6492", "loss": "0.5399", "code": "@Override void run(){for(;; i++){Object obj= QUEUE; if (objnull) {} }; }"}
{"time": "2020-12-26 22:09:25.499462", "n_pass": [333, 41, 30], "score": "0.6492", "loss": "0.5399", "code": "@Override void run(){for(;; i++){Object obj=QUEUE; if (objnull) {} }; }"}
{"time": "2020-12-26 22:09:28.267854", "n_pass": [336, 42, 31], "score": "0.6492", "loss": "0.5399", "code": "@Override void run(){for(;; i++){Object obj=QUEUE;if (objnull) {} }; }"}
{"time": "2020-12-26 22:09:31.037769", "n_pass": [338, 43, 32], "score": "0.6492", "loss": "0.5399", "code": "@Override void run(){for(;; i++){Object obj=QUEUE;if(objnull) {} }; }"}
{"time": "2020-12-26 22:09:33.841337", "n_pass": [340, 44, 33], "score": "0.9984", "loss": "0.0018", "code": "@Override void run(){for(;; i++){Object obj=QUEUE;if(null) {} }; }"}
{"time": "2020-12-26 22:09:36.641526", "n_pass": [343, 45, 34], "score": "0.9984", "loss": "0.0018", "code": "@Override void run(){for(;; i++){Object obj=QUEUE;if(null){} }; }"}
{"time": "2020-12-26 22:09:39.442442", "n_pass": [346, 46, 35], "score": "0.9984", "loss": "0.0018", "code": "@Override void run(){for(;; i++){Object obj=QUEUE;if(null){}}; }"}
{"time": "2020-12-26 22:09:42.248376", "n_pass": [348, 47, 36], "score": "0.9984", "loss": "0.0018", "code": "@Override void run(){for(;; i++){Object obj=QUEUE;if(null){}} }"}
{"time": "2020-12-26 22:09:45.034327", "n_pass": [349, 48, 37], "score": "0.9984", "loss": "0.0018", "code": "@Override void run(){for(;; i++){Object obj=QUEUE;if(null){}}}"}
{"time": "2020-12-26 22:09:49.152480", "n_pass": [364, 49, 38], "score": "0.9984", "loss": "0.0018", "code": "@Override void run(){for(;;i++){Object obj=QUEUE;if(null){}}}"}
{"time": "2020-12-26 22:09:57.490831", "n_pass": [372, 52, 39], "score": "0.3622", "loss": "1.7252", "code": "@Override void run(){for(;;i++){Object =QUEUE;if(null){}}}"}
{"time": "2020-12-26 22:10:00.290551", "n_pass": [373, 53, 40], "score": "0.9744", "loss": "0.0413", "code": "@Override void run(){for(;;i++){Object QUEUE;if(null){}}}"}
{"time": "2020-12-26 22:10:03.074564", "n_pass": [374, 54, 41], "score": "0.3409", "loss": "1.4588", "code": "@Override void run(){for(;;i++){Object ;if(null){}}}"}
{"time": "2020-12-26 22:10:07.119105", "n_pass": [402, 55, 42], "score": "0.3241", "loss": "1.5621", "code": "@Override void run(){for(;;i++){ ;if(null){}}}"}
{"time": "2020-12-26 22:10:09.876855", "n_pass": [403, 56, 43], "score": "0.3241", "loss": "1.5621", "code": "@Override void run(){for(;;i++){;if(null){}}}"}
{"time": "2020-12-26 22:10:12.644508", "n_pass": [404, 57, 44], "score": "0.3241", "loss": "1.5621", "code": "@Override void run(){for(;;i++){if(null){}}}"}

Minimal simplified code:
@Override void run(){for(;;i++){if(null){}}}

